date;event_type;fission_time;fusion_time;focus_group;group_A;group_B;group_C;direction;comments
2023-01-28;fusion;;11:19;sub group (3);Gillard, Kenyatta, Torrijos, Truss;Lula;;B -> A;
2023-01-28;fission;11:37;;sub group (3);Gillard, Torrijos, Truss, Lula;Kenyatta;;B <- A;
2023-01-28;fission;12:14;;sub group (3);Gillard, Torrijos, Truss;Lula;;B <- A;
2023-01-28;fission;12:44;;sub group (13);Ardern, Gandhi, Mujica, Obama, Castro;Khan, Merkel, Meir, Zelenskyy, Peron, Cleopatra, May, Moscoso; ;B <- A;
2023-01-28;fusion;;12:47;sub group (3);Gillard, Torrijos, Truss;Lula;;B -> A;
2023-01-28;fission;12:50;;sub group (5);Castro;Ardern, Gandhi, Mujica, Obama;;A <- B;
2023-01-28;fusion;;12:52;sub group (8);Khan, Merkel, Meir, Zelenskyy, Peron, Cleopatra, May, Moscoso;Castro;;B -> A;
2023-01-28;fusion;;12:56;sub group (3);Gillard, Torrijos, Truss, Lula;Mandela;;B -> A;
2023-01-28;fusion;;12:57;sub group (13);Ardern, Gandhi, Mujica, Obama;Khan, Merkel, Meir, Zelenskyy, Peron, Cleopatra, May, Castro, Moscoso; ;A -> B;
2023-01-28;fission;13:15;;sub group (3);Gillard, Torrijos, Truss;Lula, Mandela;;B <- A;Lula and Mandela didn't leave with each other
2023-01-28;fusion;;13:32;sub group (3);Gillard, Torrijos, Truss, Lula;Mandela;;B -> A;
2023-01-28;fission;13:36;;sub group (3);Gillard, Torrijos, Truss, Lula;Mandela;;B <- A;
2023-01-28;fusion;;13:50;sub group (13);Moscoso, Zelenskyy, Merkel, Cleopatra, Mujica, Gandhi, Meir, Ardern, Obama, Khan, May, Peron, Castro;Kenyatta;;A -> B;
2023-01-29;fusion;;11:14;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan;Lula;;B -> A;
2023-01-29;fusion;;11:27;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan, Lula;Mandela;;B -> A;
